구분,시도,상세주소,Latitude,Longitude,사찰명,소속단체(종단)
189,경기,경기도 남양주시 별내면 덕릉로1071번길 58 (별내동 2331),37.6846216,127.0985775,흥국사,조계종
190,경기,경기도 동두천시 평화로2910번길 406-65 (상봉암동 1),37.944499,127.0820074,자재암,조계종
191,경기,경기도 성남시 수정구 태평로55번길 72 (복정동 553-1),37.4534298,127.1371385,망경암,조계종
192,경기,경기도 성남시 수정구 태평로 79 (태평동 216-2호),37.450685,127.1352304,봉국사,조계종
193,경기,경기도 성남시 중원구 산성대로625번길 22 (은행동 산 7-2),37.4687422,127.1775586,약사사,여래종
194,경기,경기도 수원시 팔달구 창룡대로 236-54 (우만동 248),37.2909408,127.0380504,봉녕사,조계종
195,경기,경기도 수원시 팔달구 수원천로 300 (남수동 92-1),37.2804508,127.0189577,수원사,조계종
196,경기,경기도 수원시 장안구 수일로 335 (조원동 474-1),37.3008174,127.022957,청련암,조계종
197,경기,경기도 수원시 팔달구 행궁로 68 (팔달로3가 116),37.276412,127.0151863,팔달사,선학원
198,경기,경기도 안산시 단원구 대부황금로 1171 (대부북동 1058),37.2694489,126.5730275,쌍계사,조계종
199,경기,경기도 안산시 상록구 도매시장로 140 (일동 726),37.3179473,126.8662685,화림선원,선학원
200,경기,경기도 안성시 금광면 상촌새말길 3-120 (상중리 508번지),36.939742,127.3070037,석남사,조계종
201,경기,경기도 안성시 미양면 법전길 260-31 (법전리 181),36.9418575,127.2091808,용화사,조계종
202,경기,경기도 안성시 양성면 성하길 80-63 (방신리 85),37.0361871,127.1698905,운수암,조계종
203,경기,경기도 안성시 서운면 청룡길 140 (청용리 28),36.9136471,127.2888748,청룡사,조계종
204,경기,경기도 안성시 원곡면 통심길 16-102 (성은리 397),37.0713931,127.1738651,청원사,조계종
205,경기,경기도 안성시 죽산면 칠장로 399-18 (칠장리 764),37.0263926,127.3977262,칠장사,조계종
206,경기,경기도 안양시 동안구 임곡로 245 (비산동 산19),37.4185018,126.9525,망해암,조계종
207,경기,경기도 안양시 만안구 삼막로 478 (석수동 241-54),37.4344655,126.9360887,삼막사,조계종
208,경기,경기도 안양시 만안구 예술공원로131번길 103 (석수동 산28),37.4224944,126.9240904,안양사,태고종
209,경기,경기도 안양시 만안구 예술공원로245번길 150 (석수동 산17),37.4285483,126.9344236,염불사,조계종
210,경기,경기도 양주시 부흥로 1325-194 (유양동 산40),37.7885955,127.0269688,백화암,조계종
211,경기,경기도 양주시 장흥면 석굴암길 519 (교현리 1),37.6953386,126.9946627,석굴암,조계종
212,경기,경기도 양주시 회암사길 281 (회암동 산4),37.8505785,127.1078715,회암사,조계종
213,경기,경기도 양평군 지평면 역말4길 58 (송현리 산 91),37.4854107,127.6263393,대성사,조계종
